Alloy ID,Alloy,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,dHmix,dSmix,dGmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Microstructure_,Microstructure,Phases,References
Alloy 0000,Al0.5NbTaTiV,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,5,-8.395061728,13.14594406,575.7847956,2215.832994,3.737504762,0.049615808,4.555555556,AC,BCC,BCC,BCC_SS,10.1016/j.proeng.2012.03.043
Alloy 0001,Al0.75MoNbTiV,0.157894737,0,0,0,0,0,0,0.210526316,0.210526316,0.210526316,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-9.351800554,13.33280622,497.3287529,1915.290482,3.863331752,0.232764906,4.684210526,AC,BCC,BCC,BCC_SS,10.3390/e16020870
Alloy 0002,Al0.25MoNbTiV,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4.041522491,12.70837022,546.1289,2098.157909,4.003399323,0.243216622,4.882352941,AC,BCC,BCC,BCC_SS,10.3390/e16020870
Alloy 0003,Al0.25NbTaTiV,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0.235294118,0,0,0,0.235294118,0,0,0,0,0,0,0,0,0,0,0,5,-4.816608997,12.70837022,601.9875092,2312.760984,3.832439709,0.05017616,4.647058824,AC,BCC,BCC,BCC_SS,10.1016/j.proeng.2012.03.043
Alloy 0004,Al0.2MoTaTiV,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0,0.238095238,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,5,-3.35600907,12.56917544,551.9585078,2119.418332,4.017794358,0.244332586,4.904761905,AC,BCC,BCC,BCC_SS,10.4028/www.scientific.net/MSF.898.638
Alloy 0005,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,0,0,0,0,0,0,0,0,0,0,0,6,-4.86,13.46,601.2169546,2316.49,4.5,0.11,4.34,AC,BCC,BCC,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0006,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,0,0,0,0,0,0,0,0,0,0,0,6,-4.86,13.46,601.2169546,2316.49,4.5,0.11,4.34,AC,BCC,BCC,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0007,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,0,0,0,0,0,0,0,0,0,0,0,6,-4.86,13.46,601.2169546,2316.49,4.5,0.11,4.34,AC,BCC,BCC,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0008,Al0.5CrNbTi2V0.5,0.1,0,0.2,0,0,0,0,0.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-10.96,12.22898133,463.7034701,1778.243734,6.018491588,0.046861498,4.6,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.11.030
Alloy 0009,Al0.5MoNbTiV,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-7.012345679,13.14594406,519.8353005,2000.516448,3.93239278,0.237834884,4.777777778,AC,BCC,BCC,BCC_SS,10.3390/e16020870
Alloy 0010,Al0.6MoTaTiV,0.130434783,0,0,0,0,0,0,0,0.217391304,0.217391304,0.217391304,0,0,0.217391304,0,0,0,0,0,0,0,0,0,0,0,5,-8.015122873,13.24232516,510.4350562,1965.07407,3.904515056,0.235770867,4.739130435,AC,BCC,BCC,BCC_SS,10.4028/www.scientific.net/MSF.898.638
Alloy 0011,Al1.5MoNbTiV,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.81818182,13.2546386,445.2464742,1714.218456,3.669956489,0.219190849,4.454545455,AC,BCC,BCC,BCC_SS,10.3390/e16020870
Alloy 0012,AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-15.40740741,13.14594406,428.7017339,1649.838175,5.232513176,0.037646832,4.444444444,AC,BCC,BCC,BCC_SS,10.1016/j.jallcom.2015.08.224
Alloy 0013,AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-15.40740741,13.14594406,428.7017339,1649.838175,5.232513176,0.037646832,4.444444444,AC,BCC,BCC,BCC_SS,10.1016/j.jallcom.2015.08.224
Alloy 0014,AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-15.40740741,13.14594406,428.7017339,1649.838175,5.232513176,0.037646832,4.444444444,AC,BCC + Im,BCC + Im,Im,10.1016/j.jallcom.2015.08.224
Alloy 0015,AlCr0.5NbTiV,0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-15.40740741,13.14594406,428.7017339,1649.838175,5.232513176,0.037646832,4.444444444,AC,BCC + Im,BCC + Im,Im,10.1016/j.jallcom.2015.08.224
Alloy 0016,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0017,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0018,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0019,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0020,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0021,AlMoNbTiV,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-11.04,13.38161053,477.7526215,1840.253545,3.796497761,0.227982455,4.6,AC,BCC,BCC,BCC_SS,10.3390/e16020870
Alloy 0022,MoTaTiV,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,4,-2.75,11.52629192,598.9681468,2290.75,4.086753027,0.265459507,5,AC,BCC,BCC,BCC_SS,10.4028/www.scientific.net/MSF.898.638
Alloy 0023,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,-15.12,12.51,556.3368171,2135.79,3.07,0.08,4.2,AC,BCC,BCC,BCC_SS,10.1007/s11837-014-1066-0
